We,n,Pr,K,lambda,S,RENU_X(U),RENU_X(L),RENU_X(U)_Pred,RENU_X(L)_Pred
0.5,0.5,2,1,-2.71,2,1.692535028,0.493568677,1.69417778,0.497113883
0.5,0.5,2,1,-2.72,2,1.676928836,0.538489356,1.678784979,0.541513574
0.5,0.5,2,1,-2.73,2,1.660423512,0.583511321,1.662171027,0.585561284
0.5,0.5,2,1,-2.74,2,1.64287562,0.628817603,1.644168049,0.629633296
0.5,0.5,2,1,-2.75,2,1.624101438,0.674629605,1.624612548,0.674230795
0.5,0.5,2,1,-2.76,2,1.603858291,0.721224048,1.603350611,0.719968425
0.5,0.5,2,1,-2.77,2,1.581814022,0.768962811,1.580245667,0.767540388
0.5,0.5,2,1,-2.78,2,1.557495908,0.818347779,1.555189358,0.817658493
0.5,0.5,2,1,-2.79,2,1.530188585,0.87012123,1.528115564,0.870960487
0.5,0.5,2,1,-2.8,2,1.498714807,0.925483656,1.499016593,0.927894621
0.5,0.5,2,1,-2.6,1.92,1.485748001,0.530112017,1.489655807,0.523808349
0.5,0.5,2,1,-2.6,1.93,1.541661261,0.45173684,1.540838587,0.452815155
0.5,0.5,2,1,-2.6,1.94,1.59168005,0.377993946,1.589146717,0.381818024
0.5,0.5,2,1,-2.6,1.95,1.637382716,0.307203562,1.634749253,0.311181664
0.5,0.5,2,1,-2.6,1.96,1.679758361,0.238259019,1.677818608,0.241131828
0.5,0.5,2,1,-2.6,1.97,1.719475144,0.170361447,1.718529355,0.171753488
0.5,0.5,2,1,-2.6,1.98,1.757007597,0.102880409,1.757057412,0.102990771
0.5,0.5,2,1,-2.6,1.99,1.792707918,0.035289012,1.793579391,0.034647425
0.5,0.5,2,1,-2.6,2.01,1.859629994,-0.10212438,1.861311678,-0.102269025
0.5,0.5,2,1,-2.6,2.02,1.891231738,-0.172871661,1.892873872,-0.1719418
0.5,0.5,2,1,-2.6,2.03,1.921788145,-0.24564006,1.923132985,-0.243399798
0.5,0.5,2,1,-2.6,2.04,1.951412846,-0.320995627,1.95226193,-0.317560625
0.5,0.5,2,1,-2.6,2.05,1.980201586,-0.399606993,1.980431862,-0.395491435
0.5,0.5,2,1,-2.6,2.06,2.00823465,-0.482298054,2.0078117,-0.478403635
0.5,0.5,2,1,-2.6,2.07,2.035581927,-0.570122202,2.034567299,-0.567637701
0.5,0.5,2,1,-2.6,2.08,2.062302723,-0.664486609,2.060859951,-0.664632519
0.5,0.5,2,1,-2.6,2.09,2.088449163,-0.767366968,2.086843909,-0.770872825
0.5,0.5,2,1,-2.6,2.1,2.114066618,-0.881677562,2.112662583,-0.887808366
0.5,0.5,2,1,-2.6,2.11,2.13919547,-1.012040017,2.138443162,-1.016740173
0.5,0.5,2,1,-2.6,2.12,2.163871074,-1.166493658,2.16428965,-1.158673773
